sentence	label
the kind of insouciance embedded in the sexy demise of james dean 	1
on a high note 	1
very much like life 	1
great to begin with 	1
with such good humor 	1
the best brush in the business 	1
the work of an exhausted , desiccated talent who ca n't get out of his own way 	0
everything that was right about blade 	1
a visually masterful work of quiet power 	1
whimsical 	1
a delightfully quirky movie to be made from curling 	1
in the best irish sense 	1
the familiar topic of office politics 	1
terrifically entertaining 	1
strike a chord with anyone who 's ever 	1
been the ultimate imax trip 	1
one of this year 's very best pictures 	1
one of the very best movies 	1
real humor 	1
many ways the perfect festival film 	1
more complete than indecent proposal 	1
the top of their lungs 	1
a work of enthralling drama 	1
most delightful 	1
recommend it enough 	1
it offers hope 	1
a captivatingly quirky hybrid 	1
cliches and pat storytelling 	0
an ambitious movie 	1
a sentimental but entirely irresistible portrait of three 	1
the most edgy piece 	1
definitely worth 95 minutes of your time 	1
will find it more than capable of rewarding them 	1
teeming that even cranky adults may rediscover the quivering kid inside 	1
a comedic moment in this romantic comedy 	1
be glued to the screen 	1
a cohesive story 	1
a really good premise 	1
a wild comedy that could only spring from the demented mind 	1
a perfectly entertaining summer diversion 	1
for laughs 	1
of the best of the swashbucklers 	1
a deliciously nonsensical comedy 	1
unabashedly romantic picture 	1
real magic 	1
a loud , low-budget and tired formula film that arrives 	0
an achingly enthralling premise 	1
an entertaining documentary 	1
a stirring time at this beautifully drawn movie 	1
refreshingly clear 	1
purposefully 	1
worth the price of admission 	1
a revealing look at the collaborative process 	1
a testament to the film 's considerable charm 	1
a true adaptation of her book 	1
the charm and little 	1
a more sheerly beautiful film 	1
an original idea 	1
with some fine acting 	1
that hollywood no longer has a monopoly on mindless action 	0
a true cinematic knack 	1
sensational 	1
properly spooky 	1
with an avid interest in the subject 	1
oddly humorous to tediously sentimental 	1
a hilarious place to visit 	1
enough to feel good about 	1
solidly entertaining 	1
a terrific b movie 	1
for one splendidly cast pair 	1
a spooky yarn of demonic doings on the high seas that works better the less the brain is engaged . 	0
a compelling argument about death 	1
to a sunshine state 	1
addition to gluing you to the edge of your seat 	1
many of the things that made the first one charming 	1
a perfect example of rancid , well-intentioned , but shamelessly manipulative movie making 	0
a small movie with a big impact 	1
so well 	1
a wholesome fantasy for kids 	1
the manner of a golden book sprung to life 	1
a balanced film 	1
to be delightfully compatible here 	1
to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept 	0
cliches , painful improbability 	0
more to think about after the final frame 	1
a mesmerizing cinematic poem 	1
comes far closer than many movies 	1
a few evocative images 	1
thoroughly enjoyable 	1
thoroughly enjoyable 	1
a story about intelligent high school 	1
a better short story 	1
far more appealing 	1
above much of the director 's previous popcorn work 	1
an extraordinary film 	1
of that delicate canon 	1
goofiness 	1
with unimpeachable clarity 	1
is gone , replaced by the forced funniness found in the dullest kiddie flicks 	0
its visual delights 	1
to eat popcorn 	1
a classic theater piece 	1
into a cinematic poem 	1
ultra-cheesy dialogue 	0
well worth revisiting 	1
, unsubtle and hollywood-predictable 	0
a small but rewarding comedy 	1
a beautiful canvas 	1
make for one splendidly cast pair 	1
one of the smartest 	1
a movie that deserves recommendation 	1
rather cold-blooded comedy 	0
fascinating little thriller 	1
with fewer deliberate laughs , more inadvertent ones and stunningly trite songs 	0
make it as much fun as reading an oversized picture book before bedtime 	1
been worth cheering as a breakthrough 	1
a fascinating character 's 	1
into a classic genre 	1
middle-of-the-road blandness 	0
it looks good 	1
makes it worth the trip to the theater 	1
mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another 	0
a fully developed story 	1
part because the consciously dumbed-down approach wears thin 	0
a prison comedy that never really busts out of its comfy little cell . 	0
the funniest jokes 	1
have made it an exhilarating 	1
even better than the first one ! 	1
more goodies 	1
wonderfully edited 	1
a fascinating literary mystery story 	1
entertainingly nasty 	1
a lightweight story about matchmaking 	1
the funniest moments 	1
a trove of delights 	1
an equally assured narrative coinage 	1
the tooth and claw of human power 	1
a more than satisfactory amount of carnage 	1
in addition to gluing you to the edge of your seat 	1
is certainly easy to watch 	1
will enthrall the whole family 	1
fun for all 	1
an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling 	1
a big meal of cliches that the talented cast generally chokes on . 	0
offensive and nothing at all like real life 	0
raw-nerved story 	1
a sustained fest of self-congratulation between actor and director that leaves scant place for the viewer . 	0
seemingly sincere personal reflection 	1
whether you think kissinger was a calculating fiend or just a slippery self-promoter 	0
a properly spooky film 	1
on crummy-looking videotape 	0
a plethora of engaging diatribes 	1
really quite funny 	1
by a script that takes few chances and manages to insult the intelligence of everyone in the audience 	0
more than enough sentimental catharsis for a satisfying evening at the multiplex 	1
real masterpiece 	1
an undeniably moving film 	1
misfire that even tunney ca n't save . 	0
a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads 	0
deliciously 	1
deliciously 	1
that rarity among sequels 	1
well worth revisiting as many times 	1
another useless recycling of a brutal mid - '70s american sports movie . 	0
rather dull , unimaginative 	0
one splendidly cast pair 	1
sleepwalk through vulgarities in a sequel you can refuse . 	0
a tremendous piece of work 	1
that surprises or delights 	1
an ironically killer soundtrack 	1
the story 's promising premise 	1
is a surprisingly faithful remake of its chilly predecessor 	1
an entertaining british hybrid 	1
bound to appeal to women looking for a howlingly trashy time 	1
better still 	1
a better thriller 	1
also comes with the laziness and arrogance of a thing that already knows it 's won . 	0
a bore that tends to hammer home every one of its points . 	0
a smart new comedy 	1
spin hopelessly out of control -- that is to say 	0
an enormously entertaining movie 	1
an acceptable way to pass a little over an hour with moviegoers ages 	1
a film you will never forget 	1
's waltzed itself into the art film pantheon 	1
rather beautiful 	1
a conventional but heartwarming tale 	1
tainted by cliches , painful improbability and murky points 	0
an intelligent movie 	1
a light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation . 	0
an assurance worthy of international acclaim 	1
is simply not enough of interest onscreen to sustain its seventy-minute running time . 	0
an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound . 	0
that underlies the best of comedies 	1
lyne 's stolid remake 	1
satisfying niblet 	1
a special kind of movie 	1
projector 's 	1
admirable reconstruction 	1
that makes it attractive throughout 	1
a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility . 	0
will strike a chord with anyone who 's ever 	1
's hard to resist 	1
more timely than its director could ever have dreamed 	1
fascinating they may be as history 	1
in the current climate of mergers and downsizing 	0
delightfully charming 	1
the most moronic screenplays 	0
an enthralling 	1
idiosyncratic enough to lift the movie above its playwriting 101 premise 	1
cliché-laden 	0
that the typical hollywood disregard for historical truth and realism is at work here 	0
would be very sweet indeed 	1
above anything sandler 	1
's always enthralling 	1
that this should seal the deal 	1
well together 	1
scotland , pa is entirely too straight-faced to transcend its clever concept . 	0
consider what new best friend does not have , beginning with the minor omission of a screenplay 	0
leaves any true emotional connection or identification frustratingly out of reach 	0
the essence of magic 	1
sweet home alabama is n't as funny as you 'd hoped . 	0
oodles of charm 	1
a semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 	0
delightfully 	1
a lighthearted glow 	1
the emotional heart of happy 	1
a frighteningly fascinating contradiction 	1
acts that no amount of earnest textbook psychologizing can bridge . 	0
true emotions 	1
hate to tear your eyes away from the images long enough to read the subtitles 	1
a wretched movie that reduces the second world war to one man 's quest to find an old flame . 	0
a bad blend of an overripe episode of tv 's dawson 's creek and a recycled and dumbed-down version of love story 	0
a perfect wildean actor 	1
exciting documentary 	1
an unfortunate title for a film that has nothing endearing about it . 	0
to keep our interest 	1
beautifully produced 	1
bug-eyed mugging and gay-niche condescension 	0
plot and paper-thin supporting characters 	0
with its wry observations 	1
most entertaining 	1
fine acting moments 	1
probably one of the best since the last waltz 	1
a brilliant motion picture 	1
in amazement over the fact 	1
only the most hardhearted scrooge could fail to respond 	1
the very definition of epic adventure 	1
some buoyant human moments 	1
its total promise 	1
that even cranky adults may rediscover the quivering kid inside 	1
like it was worth your seven bucks 	1
only belly laughs 	1
story which fails to rise above its disgusting source material . 	0
to tear your eyes away from the images 	1
this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock . 	0
the things that made the first one charming 	1
genuine love story 	1
one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time . 	0
wonderfully loopy 	1
a nice album 	1
a weirdly beautiful place 	1
makes for unexpectedly giddy viewing 	1
an intimate contemplation of two marvelously 	1
very predictable but still entertaining 	1
much humor 	1
with first love sweetly 	1
is itself intacto 's luckiest stroke 	1
this interminable , shapeless documentary about the swinging subculture 	0
own ambitious goals 	1
reassuringly familiar 	1
a stunning technical achievement 	1
every bit as filling as the treat of the title 	1
flawed but engrossing 	1
unfortunately , a cast of competent performers from movies , television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style . 	0
affectingly 	1
the best since the last waltz 	1
auteuil is a goofy pleasure 	1
enjoyable randomness 	1
the end that extravagantly redeems it 	1
is sabotaged by ticking time bombs and other hollywood-action cliches 	0
a terrific date movie 	1
so much like a young robert deniro 	1
a realistically terrifying movie 	1
truly funny 	1
us plenty of sturm 	1
a collage of clichés and a dim echo of allusions to other films . 	0
a remarkably insightful 	1
quite fun 	1
this shocking testament to anti-semitism and neo-fascism 	0
are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed . 	0
like real life 	1
a cast of competent performers from movies , television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style . 	0
have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat . 	0
be a different kind of film 	1
a gangster movie with the capacity to surprise 	1
yet curiously tepid and choppy recycling in which predictability is the only winner 	0
in practically every facet of inept filmmaking 	0
a superb performance 	1
in spite of featuring a script credited to no fewer than five writers 	1
sheerly beautiful 	1
little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out 	0
a derivative collection of horror and sci-fi 	0
to turn his movie in an unexpected direction 	1
much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present 	0
enjoys the friday series 	1
probably limited to lds church members and undemanding armchair tourists 	0
an effective portrait 	1
the world 's greatest teacher 	1
honestly nice little film 	1
artfully 	1
of saucy 	1
a beguiling evocation 	1
that the german film industry can not make a delightful comedy centering on food 	0
seems more tacky and reprehensible 	0
an interesting storyline 	1
wisely 	1
that proceeds 	1
the right frame of mind 	1
beautifully acted 	1
with a visually masterful work of quiet power 	1
made watchable by a bravura performance 	1
the heedless impetuousness of youth is on full , irritating display in ( this ) meandering and pointless french coming-of-age import from writer-director anne-sophie birot . 	0
more entertaining 	1
have you talking 'til the end of the year 	1
definitely gives you something to chew on 	1
the drama that gives added clout to this doc 	1
a delicious crime drama 	1
the worst revenge-of-the-nerds clichés 	0
an ugly , revolting movie . 	0
a delicately crafted film 	1
a quirky comedy 	1
a real winner 	1
a rollicking adventure for you 	1
heartwarming 	1
heartwarming 	1
most intense 	1
a remarkable movie 	1
enjoyable film 	1
so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 	0
enjoyable choice 	1
into a smart new comedy 	1
is gone , replaced by the forced funniness found in the dullest kiddie flicks . 	0
catapulting the artist 	1
this delicate coming-of-age tale a treat 	1
slice of comedic bliss 	1
albeit a visually compelling one 	1
a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art 	0
to its superior cast 	1
stiflingly unfunny and unoriginal mess 	0
likely to leave a lasting impression 	1
for all the dolorous trim 	1
a mawkish self-parody 	0
immensely entertaining look 	1
earnest , unsubtle and hollywood-predictable 	0
results that are sometimes bracing 	1
crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level . 	0
a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years 	0
is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors . 	0
wonderfully creepy mood 	1
a tasty performance 	1
that deals with first love sweetly 	1
a funny little film 	1
hoary dialogue , fluxing accents 	0
what may be the performances of their careers 	1
in chilling style 	1
makes this a high water mark for this genre 	1
completely honest 	1
chillingly effective 	1
here are unintentional . 	0
had their hearts in the right place 	1
is all too predictable and far too cliched 	0
strikes a potent chemistry with molina 	1
to south seas islanders 	1
rare and lightly entertaining 	1
the lazy material and the finished product 's unshapely look 	0
is a shaky , uncertain film that nevertheless touches a few raw nerves . 	0
skillfully 	1
skillfully 	1
gasping at its visual delights 	1
most splendid 	1
's simply crude and unrelentingly exploitative 	0
an interesting slice of history 	1
's an enthusiastic charm in fire that makes the formula fresh again 	1
a distinctly minor effort that will be seen to better advantage on cable , especially considering its barely feature-length running time of one hour . 	0
the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy 	0
of rich detail condensed 	1
partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless . 	0
a perfectly pleasant if slightly pokey comedy 	1
an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike . 	0
sobering cautionary tale 	1
very bright 	1
yet another arnold vehicle that fails to make adequate use of his particular talents . 	0
gorgeous color palette 	1
enough clever and unexpected 	1
a wildly inventive mixture 	1
that is masterly 	1
a distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze . 	0
an enjoyable choice 	1
business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen 	0
delightfully dour 	1
keenest pleasures 	1
a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise 	0
a life interestingly lived 	1
recommend `` 	1
quirky movie to be made from curling 	1
pack a powerful emotional wallop 	1
but they lack their idol 's energy and passion for detail . 	0
donovan ... squanders his main asset , 	0
the first part making up for any flaws that come later 	1
you will likely enjoy this monster 	1
managed to convey a tiny sense of hope 	1
beguiling freshness 	1
will all but take you to outer space 	1
it has its moments 	1
may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . 	0
a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke 	0
that resonate with profundity 	1
an absolute joy 	1
our eyes 	1
just another disjointed , fairly predictable psychological thriller . 	0
a sleek advert for youthful anomie 	1
will be something to behold 	1
a mesmerizing one 	1
a generic family comedy unlikely to be appreciated by anyone outside the under-10 set . 	0
gives an intriguing twist 	1
in his right mind 	1
with all the usual spielberg flair 	1
advised to take the warning literally , and log on to something more user-friendly 	0
costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops 	0
seemingly disgusted with the lazy material and the finished product 's unshapely look 	0
how inseparable the two are 	1
a delightful stimulus for the optic nerves 	1
awesome work 	1
predominantly amateur cast is painful to watch , so stilted and unconvincing 	0
flimsier with its many out-sized , out of character and logically porous action set 	0
an endearing cast 	1
was better than saving private ryan 	1
had no effect and elicited no sympathies for any of the characters 	0
a loud , low-budget and tired formula film that arrives cloaked in the euphemism ` urban drama . ' 	0
wrapped up in the characters 	1
enjoyable trifle 	1
an average b-movie with no aspirations 	0
rich performances 	1
a strangely tempting bouquet 	1
is a shaky , uncertain film that nevertheless touches a few raw nerves 	0
a fresh point of view 	1
how good 	1
how good 	1
a great companion piece 	1
a film with a great premise but only a great premise 	0
an engrossing entertainment 	1
worthless , from its pseudo-rock-video opening to the idiocy of its last frames 	0
more adventurous 	1
a chiller resolutely without chills . 	0
everyone making it 	1
a grittily beautiful film 	1
refreshing to see a romance this smart 	1
the name of high art 	1
leave fans clamoring for another ride 	1
by cliches , painful improbability and murky points 	0
an amicable endeavor 	1
to a spectacular completion one 	1
more sheerly beautiful film 	1
feel more like literary conceits than flesh-and-blood humans 	0
are the film 's sopranos gags incredibly dated and unfunny 	0
an unsophisticated sci-fi drama that takes itself all too seriously . 	0
plotless collection of moronic stunts is by far the worst movie of the year . 	0
by some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy 	0
preposterous , prurient whodunit 	0
take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that 	0
a workable primer 	1
was utterly charming 	1
into the urban heart 	1
change watching such a character 	1
a psychological mystery 	1
poignant 	1
can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) 	0
another cool crime movie 	1
sense is a movie that deserves recommendation 	1
the best case for christianity 	1
great story 	1
thrillingly 	1
imagine the cleanflicks version of ` love story , ' with ali macgraw 's profanities replaced by romance-novel platitudes . 	0
a beauty to behold 	1
a few good laughs 	1
worth seeing at least once 	1
peevish and gimmicky 	0
of a good vampire tale 	1
an intelligent weepy 	1
best little 	1
big laughs 	1
decidedly flimsier with its many out-sized , out of character and logically porous action set 	0
a teenybopper ed wood film , replete with the pubescent scandalous innuendo and 	0
to cut a swathe through mainstream hollywood 	1
is a dim-witted pairing of teen-speak and animal gibberish 	0
'll love it 	1
could pass for a thirteen-year-old 's book report on the totalitarian themes of 1984 and farenheit 451 	0
plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter 	0
's invigorating about 	1
handsomely produced 	1
manage to get you under its spell 	1
the sheer beauty of his images 	1
the music makes a nice album 	1
is concocted and carried out by folks worthy of scorn 	0
little room for engaging , imaginative filmmaking in its nearly 2 1/2 	0
in many ways a conventional , even predictable remake 	0
, right-wing , propriety-obsessed family 	0
playfully profound 	1
little jokes 	1
's clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf . 	0
this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it 	0
utter sincerity 	1
chicanery and self-delusion 	0
a good music documentary 	1
multilayered 	1
astoundingly 	1
are jarring and deeply out of place in what could have ( and probably should have ) 	0
overall an overwhelmingly positive portrayal 	1
length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue 	0
a bit of the dry humor that first made audiences on both sides of the atlantic love him 	1
a baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise 	0
the road to perdition leads to a satisfying destination 	1
sickeningly real 	1
quite beautiful 	1
as a tribute 	1
to the scuzzy underbelly of nyc 's drug scene 	0
beguiling 	1
like scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot 	0
a rollicking good time 	1
like the best of godard 's movies 	1
that delicate canon 	1
perfectly pleasant if slightly pokey 	1
contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama . 	0
to consider the unthinkable , the unacceptable , the unmentionable 	0
predictable , manipulative stinker 	0
good 	1
good 	1
the cast is impressive 	1
there 's a delightfully quirky movie to be made from curling 	1
auto focus feels so distant you might as well be watching it through a telescope . 	0
straight-to-video 	0
's awfully entertaining 	1
in entertaining 	1
fantastically vital movie 	1
without ever succumbing to sentimentality 	1
an impenetrable and insufferable ball of pseudo-philosophic twaddle 	0
a flawed but engrossing thriller 	1
buy the soundtrack 	1
deserves a place of honor 	1
an appealing veneer 	1
accumulated enjoyment 	1
building to a laugh riot 	1
also somewhat touched 	1
of that 	1
no film could possibly be more contemptuous of the single female population . 	0
will have you at the edge of your seat for long stretches 	1
just another disjointed , fairly predictable psychological thriller 	0
in addition to being very funny 	1
loosely connected characters and plots that never quite gel 	0
a delightful comedy centering on food 	1
so fascinating 	1
an entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots . 	0
good romance 	1
unrelentingly grim -- and 	0
of a genre gem 	1
the lack of naturalness makes everything seem self-consciously poetic and forced 	0
so interesting 	1
that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy 	0
an acting bond 	1
seems to have in mind an ( emotionally at least ) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested 	0
intelligent humor 	1
into such fresh territory 	1
made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept 	0
will make you laugh 	1
and unrelentingly exploitative 	0
a very depressing movie of many missed opportunities . 	0
quite possibly the sturdiest example yet 	1
make this surprisingly decent flick 	1
the story and ensuing complications are too manipulative 	0
interesting character 	1
about as exciting to watch as two last-place basketball teams playing one another on the final day of the season . 	0
the 50-something lovebirds are too immature and unappealing to care about . 	0
all the more remarkable because it 	1
's mildly entertaining 	1
swept away by the sheer beauty of his images 	1
evans is no hollywood villain 	1
cheesy dialogue 	0
emotionally belittle a cinema classic . 	0
your entertainment standards 	1
the typical hollywood disregard for historical truth and realism is at work here 	0
its epic scope 	1
an odd but ultimately satisfying blend 	1
very tasteful rock 	1
daring as john ritter 's glory days 	1
tired , unimaginative and derivative 	0
an enjoyable 	1
sassy interpretation 	1
cute moments 	1
be a film that is n't this painfully forced , false and fabricated 	0
it 's a long way from orwell 's dark , intelligent warning cry ( 1984 ) to the empty stud knockabout of equilibrium , and what once was conviction is now affectation . 	0
nifty twists 	1
brilliant piece 	1
immensely enjoyable 	1
i liked about schmidt a lot 	1
a convincing impersonation here of a director enjoying himself immensely 	1
on it 	1
the place where a masterpiece should be 	1
a truly magical movie 	1
beautiful work 	1
is nothing to sneeze at these days 	1
's also disappointing to a certain degree . 	0
dripping with cliche and bypassing no opportunity to trivialize the material 	0
a solid pedigree 	1
a radiant character portrait 	1
one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original 	0
like many of his works 	1
refreshing change 	1
is a dim-witted pairing of teen-speak and animal gibberish . 	0
sustained fest of self-congratulation between actor and director that leaves scant place for the viewer 	0
a perfect family film 	1
short of true inspiration 	1
awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue 	0
a sour taste in one 's mouth , 	0
the perkiness 	1
beacon of hope 	1
keenly 	1
's better than its predecessor 	1
more watchable 	1
the humor wry 	1
second chance to find love in the most unlikely place 	1
should never forget 	1
a selection of scenes in search of a movie . 	0
on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue 	0
all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s . 	0
engrossing portrait 	1
for a summer of good stuff 	1
most virtuous limits 	1
most exciting 	1
so hilarious 	1
it promised it would be 	1
a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff . 	0
as moronic as some campus gross-out films 	0
fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) 	0
good laughs 	1
mushy , existential exploration 	0
an entertaining movie 	1
will at least have a dream image of the west to savor whenever the film 's lamer instincts are in the saddle 	1
far funnier 	1
sweetest thing 	1
look at that clever angle ! 	1
are left with a handful of disparate funny moments of no real consequence . 	0
exceedingly pleasant 	1
building up to the climactic burst of violence 	1
perfectly entertaining summer diversion 	1
for happiness 	1
with an original idea for a teen movie 	1
with its unbelievable naïveté and arbitrary flashbacks 	0
helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter 	0
to the brim with ideas 	1
this movie , by necessity , lacks fellowship 's heart 	0
a film with contemporary political resonance 	1
life in the performances 	1
have potential as a cult film 	1
great crimes 	1
a good match of the sensibilities of two directors 	1
thought out encounter than the original could ever have hoped to be 	1
delicately performed 	1
fest of self-congratulation between actor and director that leaves scant place for the viewer 	0
a way to make j.k. rowling 's marvelous series into a deadly bore 	0
a stylish exercise 	1
the violence is at once luridly graphic and laughably unconvincing 	0
all of the filmmakers ' calculations ca n't rescue brown sugar from the curse of blandness . 	0
odd enjoyably chewy lump 	1
, frightening war scenes 	0
its source 's complexity 	1
a hokey piece of nonsense that tries too hard to be emotional . 	0
a gorgeous color palette 	1
sexism to monday morning that undercuts its charm 	0
a markedly inactive film , city is conversational bordering on confessional . 	0
came handed down from the movie gods on a silver platter 	1
a series of riveting set pieces 	1
hugely rewarding experience 	1
young man 's 	1
their most virtuous limits 	1
clever makeup design 	1
long workout 	1
of promise 	1
peculiarly moral amorality 	0
circuit is the awkwardly paced soap opera-ish story . 	0
immediate inclination to provide a fourth book 	1
the comedy was funny 	1
in an intricate plot 	1
is corny in a way that bespeaks an expiration date passed a long time ago . 	0
wertmuller 's social mores and politics to tiresome jargon 	0
the emotions seem authentic 	1
reign of fire is hardly the most original fantasy film ever made 	0
at this beautifully drawn movie 	1
a lot of talent is wasted in this crass , low-wattage endeavor . 	0
morality and the choices we make underneath such a mountain of clichés and borrowed images 	0
enthralling documentary 	1
( a ) poorly executed comedy . 	0
the action sequences -- clearly the main event -- are surprisingly uninvolving 	0
look as if it were being shown on the projection television screen of a sports bar 	0
's just merely very bad . 	0
a slight but sweet film 	1
of its oscar nomination 	1
be patient with the lovely hush ! 	1
absurd plot twists , idiotic court maneuvers 	0
real stars 	1
with the unsettling spookiness of the supernatural 	1
would likely be most effective if used as a tool to rally anti-catholic protestors . 	0
true to its title 	1
another run-of-the-mill disney sequel intended for the home video market 	0
a pedestrian , flat drama that screams out ` amateur ' in almost every frame 	0
this is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout . 	0
its best moments 	1
big fat liar is a real charmer 	1
disposable , kitchen-sink homage 	0
a stupid , derivative horror film that substitutes extreme 	0
gets added disdain for the fact that it is nearly impossible to look at or understand . 	0
with too much exploitation and too little art 	0
the proficient , dull sorvino has no light touch , and rodan is out of his league 	0
sharp 	1
sharp 	1
too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises . 	0
are what makes it worth the trip to the theater 	1
cold , pretentious , thoroughly dislikable study in sociopathy . 	0
ultimately feels as flat as the scruffy sands of its titular community . 	0
wonderful but sometimes confusing 	1
a peculiar misfire that even tunney ca n't save . 	0
with the delight of discovery 	1
you 're far better served by the source material . 	0
, this cross-cultural soap opera is painfully formulaic and stilted . 	0
iwai 's gorgeous visuals 	1
middle and lurches between not-very-funny comedy , unconvincing dramatics 	0
well-deserved 	1
has thrown every suspenseful cliché in the book at this nonsensical story . 	0
